reportdate,Acute,ICU
2023-09-20,217.85714285714286,36.57142857142857
2023-09-21,220.28571428571428,35.42857142857143
2023-09-22,223.85714285714286,35
2023-09-23,226.85714285714286,33.714285714285715
2023-09-24,230.42857142857142,32.142857142857146
2023-09-25,237.28571428571428,31.285714285714285
2023-09-26,242.71428571428572,32.142857142857146
2023-09-27,249.28571428571428,31.857142857142858
2023-09-28,249.85714285714286,32.142857142857146
2023-09-29,247,32.285714285714285
2023-09-30,245,32.857142857142854
2023-10-01,243.14285714285714,33.57142857142857
2023-10-02,241,33.714285714285715
2023-10-03,236.57142857142858,32.857142857142854
2023-10-04,233.85714285714286,32.42857142857143
2023-10-05,232.71428571428572,31.714285714285715
2023-10-06,234.71428571428572,31.428571428571427
2023-10-07,236,31.571428571428573
2023-10-08,236.57142857142858,32
2023-10-09,233.14285714285714,32.285714285714285
2023-10-10,233.57142857142858,32.42857142857143
2023-10-11,228.71428571428572,32.142857142857146
2023-10-12,226.57142857142858,31.714285714285715
2023-10-13,220.28571428571428,30.714285714285715
2023-10-14,215.71428571428572,29.428571428571427
2023-10-15,210.71428571428572,27.857142857142858
2023-10-16,207.85714285714286,26
2023-10-17,204,24.428571428571427
2023-10-18,206,23.571428571428573
2023-10-19,208,23.571428571428573
2023-10-20,208.28571428571428,23.428571428571427
2023-10-21,207.85714285714286,23.142857142857142
2023-10-22,208.71428571428572,23
2023-10-23,216,23.857142857142858
2023-10-24,221.71428571428572,25.428571428571427
2023-10-25,221,26.571428571428573
2023-10-26,216.42857142857142,25.857142857142858
2023-10-27,214.14285714285714,26.285714285714285
2023-10-28,212.14285714285714,26.714285714285715
2023-10-29,209.28571428571428,27.428571428571427
2023-10-30,203.71428571428572,26.714285714285715
2023-10-31,200.57142857142858,25.714285714285715
2023-11-01,202.14285714285714,25
2023-11-02,203.57142857142858,25.714285714285715
2023-11-03,204.42857142857142,25.714285714285715
2023-11-04,204,25.142857142857142
2023-11-05,203.85714285714286,24.285714285714285
2023-11-06,202.85714285714286,25
2023-11-07,200,25.714285714285715
2023-11-08,196.85714285714286,27
2023-11-09,197.71428571428572,27
2023-11-10,201.85714285714286,26.571428571428573
2023-11-11,206.28571428571428,26.714285714285715
2023-11-12,209.28571428571428,26.714285714285715
2023-11-13,212.42857142857142,27.285714285714285
2023-11-14,215,27.857142857142858
2023-11-15,220.14285714285714,27
2023-11-16,224.42857142857142,27.571428571428573
2023-11-17,227.71428571428572,29.714285714285715
2023-11-18,231.14285714285714,31.714285714285715
2023-11-19,235,34.142857142857146
2023-11-20,240.14285714285714,34.714285714285715
2023-11-21,245.85714285714286,35.857142857142854
2023-11-22,250.71428571428572,38.42857142857143
2023-11-23,254.28571428571428,39.42857142857143
2023-11-24,260.85714285714283,39.57142857142857
2023-11-25,267.57142857142856,40.142857142857146
2023-11-26,275.14285714285717,40.42857142857143
2023-11-27,281.7142857142857,42.142857142857146
2023-11-28,290.42857142857144,42.285714285714285
2023-11-29,297.14285714285717,41.714285714285715
2023-11-30,304.7142857142857,44.42857142857143
2023-12-01,309.42857142857144,45.42857142857143
2023-12-02,314,46.142857142857146
2023-12-03,318.42857142857144,47
2023-12-04,321.7142857142857,47.714285714285715
2023-12-05,322.85714285714283,48.57142857142857
2023-12-06,325.85714285714283,50.142857142857146
2023-12-07,328.57142857142856,49.714285714285715
2023-12-08,328.42857142857144,51.57142857142857
2023-12-09,328.2857142857143,53.42857142857143
2023-12-10,328.2857142857143,54.714285714285715
2023-12-11,332.57142857142856,53.285714285714285
2023-12-12,335.42857142857144,52.714285714285715
2023-12-13,336.57142857142856,52.142857142857146
2023-12-14,336.42857142857144,50.857142857142854
2023-12-15,338.14285714285717,49
2023-12-16,339.57142857142856,47.42857142857143
2023-12-17,341.42857142857144,46.285714285714285
2023-12-18,339.14285714285717,46.285714285714285
2023-12-19,340.14285714285717,46.285714285714285
2023-12-20,341.42857142857144,45.142857142857146
2023-12-21,343,43.714285714285715
2023-12-22,348.85714285714283,41.714285714285715
2023-12-23,355.2857142857143,39.714285714285715
2023-12-24,360.85714285714283,37.714285714285715
2023-12-25,366.42857142857144,37.142857142857146
2023-12-26,375,36.285714285714285
2023-12-27,383.42857142857144,36.857142857142854
2023-12-28,393.2857142857143,38.57142857142857
2023-12-29,403.2857142857143,40.857142857142854
2023-12-30,413.14285714285717,43
2023-12-31,424.2857142857143,44.857142857142854
2024-01-01,432.14285714285717,46.285714285714285
2024-01-02,443.2857142857143,48.42857142857143
2024-01-03,453.2857142857143,49.714285714285715
2024-01-04,460.2857142857143,51.714285714285715
2024-01-05,462.42857142857144,53.714285714285715
2024-01-06,464.14285714285717,55.714285714285715
2024-01-07,465.2857142857143,58
2024-01-08,470.7142857142857,58.857142857142854
2024-01-09,467.14285714285717,59
2024-01-10,461.42857142857144,59.714285714285715
